SYSTEM,RELEASE,CLASS,WMC,DIT,NOC,CBO,RFC,CA,CE,LCOM,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,REFACT,LCOM
log4j,1.2.12,org.apache.log4j.ConsoleAppender$SystemOutStream,6.0,2.0,0.0,1.0,11.0,1.0,0.0,297,6.0,2.0,27.0,0.0,0.0,0.5,0.5556,1.0,1.0,3.5,0.0,297
log4j,1.2.12,org.apache.log4j.ConsoleAppender$SystemErrStream,6.0,2.0,0.0,1.0,11.0,1.0,0.0,10,6.0,2.0,27.0,0.0,0.0,0.5,0.5556,1.0,1.0,3.5,0.0,10
log4j,1.2.14,org.apache.log4j.AsyncAppender$Dispatcher,2.0,1.0,0.0,5.0,18.0,1.0,5.0,10,2.0,0.0,150.0,1.0,2.0,0.0,0.6,0.0,0.0,72.0,0.0,10
log4j,1.2.14,org.apache.log4j.AsyncAppender$DiscardSummary,3.0,1.0,0.0,7.0,12.0,2.0,5.0,10,3.0,0.0,65.0,1.0,1.0,0.0,0.8333,0.0,0.0,20.0,0.0,10
log4j,1.2.16,org.apache.log4j.EnhancedPatternLayout,8.0,0.0,0.0,7.0,16.0,0.0,7.0,10,7.0,0.8571,126.0,0.625,1.0,0.0,0.5,0.0,0.0,13.75,0.0,10
log4j,1.2.16,org.apache.log4j.DefaultThrowableRenderer,3.0,1.0,0.0,3.0,19.0,2.0,1.0,24,3.0,2.0,73.0,0.0,0.0,0.0,0.6667,0.0,0.0,233333.0,0.0,24
log4j,1.2beta4,org.apache.log4j.DefaultCategoryFactory,2.0,1.0,0.0,4.0,4.0,2.0,2.0,76,1.0,2.0,10.0,0.0,0.0,0.0,0.75,0.0,0.0,4.0,0.0,76
log4j,1.2beta4,org.apache.log4j.AppenderSkeleton,20.0,1.0,8.0,21.0,30.0,12.0,9.0,609,19.0,0.8797,174.0,1.0,5.0,0.0,0.2,0.0,0.0,7.35,0.0,609
log4j,1.2beta4,org.apache.log4j.config.PropertyGetter$PropertyCallback,1.0,1.0,0.0,2.0,1.0,2.0,0.0,609,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,609
log4j,1.2beta4,org.apache.log4j.config.PropertySetter,10.0,1.0,0.0,8.0,49.0,2.0,6.0,703,6.0,0.6944,395.0,0.5,0.0,0.0,0.35,0.0,0.0,38.1,0.0,703
log4j,1.2beta4,org.apache.log4j.CategoryKey,4.0,1.0,0.0,1.0,11.0,1.0,0.0,703,2.0,0.7778,61.0,0.0,0.0,0.0,0.5,1.0,1.0,13.5,0.0,703
log4j,1.2beta4,org.apache.log4j.config.PropertyGetter,6.0,1.0,0.0,3.0,25.0,1.0,2.0,703,3.0,0.68,154.0,0.6,0.0,0.0,0.44,0.0,0.0,238333.0,0.0,703
log4j,1.2beta4,org.apache.log4j.Dispatcher,3.0,2.0,0.0,5.0,17.0,1.0,5.0,703,1.0,0.25,131.0,0.0,3.0,0.9697,0.5556,0.0,0.0,413333.0,0.0,703
log4j,1.2beta4,org.apache.log4j.config.PropertyPrinter,10.0,1.0,0.0,7.0,42.0,0.0,7.0,703,6.0,0.6444,328.0,1.0,0.0,0.0,0.3143,0.0,0.0,31.3,0.0,703
log4j,1.2beta4,org.apache.log4j.BasicConfigurator,4.0,1.0,0.0,8.0,10.0,1.0,7.0,926,3.0,2.0,27.0,0.0,0.0,0.0,0.25,0.0,0.0,5.75,0.0,926
log4j,1.2beta4,org.apache.log4j.AsyncAppender,15.0,0.0,0.0,9.0,43.0,1.0,9.0,926,15.0,0.8839,285.0,0.0,3.0,0.0,0.2556,0.0,0.0,174667.0,0.0,926
log4j,1.2beta4,org.apache.log4j.DailyRollingFileAppender,9.0,0.0,0.0,8.0,38.0,0.0,8.0,1011,5.0,0.8571,424.0,0.2143,1.0,0.0,0.3111,0.0,0.0,445556.0,0.0,1011
log4j,1.2beta4,org.apache.log4j.ConsoleAppender,8.0,0.0,0.0,5.0,18.0,1.0,4.0,997,6.0,0.8571,116.0,0.3333,0.0,0.0,0.5417,0.0,0.0,13125.0,0.0,997
log4j,1.2beta4,org.apache.log4j.Appender,12.0,1.0,0.0,22.0,12.0,19.0,4.0,997,12.0,2.0,12.0,0.0,0.0,0.0,0.2361,0.0,0.0,0.0,0.0,997
log4j,1.2beta4,org.apache.log4j.config.PropertySetterException,3.0,3.0,0.0,1.0,6.0,1.0,0.0,1256,3.0,0.5,28.0,1.0,0.0,0.9545,0.5556,1.0,1.0,8.0,0.0,1256
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$5,4.0,1.0,0.0,2.0,7.0,1.0,2.0,1289,3.0,0.3333,40.0,1.0,2.0,0.0,0.5,0.0,0.0,8.25,0.0,1289
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$6,2.0,1.0,0.0,2.0,4.0,1.0,2.0,1547,1.0,0.5,17.0,1.0,2.0,0.0,0.625,0.0,0.0,6.5,0.0,1547
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$7,2.0,1.0,0.0,2.0,6.0,1.0,2.0,1517,1.0,0.3333,31.0,1.0,2.0,0.0,0.6,0.0,0.0,13.0,0.0,1517
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$1,2.0,1.0,0.0,3.0,5.0,1.0,3.0,1517,1.0,0.3333,25.0,1.0,2.0,0.0,0.6,0.0,0.0,10.0,0.0,1517
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$2,4.0,1.0,0.0,2.0,7.0,1.0,2.0,1517,3.0,0.3333,40.0,1.0,2.0,0.0,0.5,0.0,0.0,8.25,0.0,1517
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$3,4.0,1.0,0.0,2.0,7.0,1.0,2.0,1517,3.0,0.3333,40.0,1.0,2.0,0.0,0.5,0.0,0.0,8.25,0.0,1517
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel$4,4.0,1.0,0.0,2.0,7.0,1.0,2.0,1455,3.0,0.3333,40.0,1.0,2.0,0.0,0.5,0.0,0.0,8.25,0.0,1455
log4j,1.2rc1,org.apache.log4j.chainsaw.Main,6.0,6.0,0.0,9.0,52.0,1.0,9.0,1455,1.0,0.95,268.0,0.5,1.0,0.9945,0.25,0.0,0.0,43.0,0.0,1455
log4j,1.2rc1,org.apache.log4j.chainsaw.EventDetails,10.0,1.0,0.0,9.0,16.0,6.0,3.0,1455,0.0,0.7778,94.0,1.0,1.0,0.0,0.25,0.0,0.0,7.6,0.0,1455
log4j,1.2rc1,org.apache.log4j.chainsaw.ControlPanel,3.0,5.0,0.0,12.0,35.0,8.0,11.0,1455,0.0,1.0,407.0,0.5,1.0,0.9986,0.5,0.0,0.0,134.0,0.0,1455
log4j,1.2rc1,org.apache.log4j.chainsaw.XMLFileHandler,8.0,2.0,0.0,4.0,22.0,1.0,3.0,1578,4.0,0.7679,273.0,1.0,2.0,0.7083,0.2917,1.0,2.0,31125.0,0.0,1578
log4j,1.2rc1,org.apache.log4j.chainsaw.ExitAction,4.0,2.0,0.0,4.0,11.0,3.0,1.0,1578,1.0,0.8889,41.0,0.3333,2.0,0.8947,0.4444,0.0,0.0,8.5,0.0,1578
log4j,1.2rc1,org.apache.log4j.chainsaw.MyTableModel$Processor,3.0,1.0,0.0,3.0,17.0,1.0,3.0,1578,1.0,0.0,96.0,1.0,1.0,0.0,0.6667,0.0,0.0,306667.0,0.0,1578
log4j,1.2rc1,org.apache.log4j.Category,55.0,1.0,1.0,37.0,90.0,30.0,10.0,1709,48.0,0.7667,733.0,0.7,4.0,0.0,0.1439,0.0,0.0,121455.0,0.0,1709
log4j,1.2rc1,org.apache.log4j.chainsaw.MyTableModel,26.0,2.0,0.0,19.0,72.0,15.0,5.0,0,15.0,0.8156,657.0,0.8333,4.0,0.4,0.2229,1.0,1.0,235769.0,0.0,0
log4j,1.2rc1,org.apache.log4j.chainsaw.DetailPanel,6.0,5.0,0.0,5.0,46.0,1.0,4.0,0,1.0,0.88,251.0,0.8,2.0,0.9942,0.3,0.0,0.0,40.0,0.0,0
log4j,1.2rc1,org.apache.log4j.chainsaw.LoadXMLAction,5.0,2.0,0.0,4.0,32.0,1.0,3.0,0,1.0,0.7083,202.0,0.8333,2.0,0.85,0.4,0.0,0.0,38.2,0.0,0
log4j,1.2rc1,org.apache.log4j.chainsaw.MyTableModel$1,2.0,1.0,0.0,3.0,4.0,2.0,1.0,0,1.0,2.0,35.0,0.0,0.0,0.0,0.75,0.0,0.0,16.5,0.0,0
