"","rn","SYSTEM","RELEASE","CLASS","WMC","DIT","NOC","CBO","RFC","LCOM","CA","CE","NPM","LCOM3","LOC","DAM","MOA","MFA","CAM","IC","CBM","AMC","nextClass","nextLCOM","deltaLCOM","absDeltaLCOM"
"1","26","ant","1.8.4","org.apache.tools.ant.AntClassLoader",63,2,3,53,176,1517,40,15,39,0.8685,2035,0.8,2,541,0.1567,1,6,30.9841,"org.apache.tools.ant.AntClassLoader",1455,-62,62
"2","73","ant","1.8.4","org.apache.tools.ant.AntTypeDefinition",24,1,2,15,50,172,11,4,20,0.75,611,875,0,0,0.2679,0,0,24.125,"org.apache.tools.ant.AntTypeDefinition",149,-23,23
"3","523","ant","1.8.4","org.apache.tools.ant.Diagnostics",36,1,0,9,119,628,2,8,6,1.0143,1160,0.8,0,0,0.0926,0,0,30.9444,"org.apache.tools.ant.Diagnostics",595,-33,33
"4","2240","ant","1.5.4","org.apache.tools.ant.helper.ProjectHelperImpl$ProjectHandler",8,3,0,10,38,28,1,9,3,2,301,0,0,0.7083,0.6,1,1,36.625,"org.apache.tools.ant.helper.ProjectHelperImpl$ProjectHandler",6,-22,22
"5","2521","ant","1.6.5","org.apache.tools.ant.IntrospectionHelper",41,1,0,33,118,624,18,29,30,0.9116,1861,0.3571,0,0,0.2556,0,0,43.7073,"org.apache.tools.ant.IntrospectionHelper",452,-172,172
"6","3379","ant","1.6.5","org.apache.tools.ant.loader.AntClassLoader2",8,3,0,6,63,24,1,5,1,0.9048,444,0.6667,1,0.9512,0.4857,2,12,54.125,"org.apache.tools.ant.loader.AntClassLoader2",0,-24,24
"7","3578","ant","1.8.4","org.apache.tools.ant.Project",127,1,0,383,299,7533,368,33,110,0.9764,2538,0.5946,6,0,87,0,0,18.6929,"org.apache.tools.ant.Project",7415,-118,118
"8","3651","ant","1.4.1","org.apache.tools.ant.ProjectHelper",19,1,0,24,81,147,17,8,7,0.8611,560,1,1,0,0.1713,0,0,28.1579,"org.apache.tools.ant.ProjectHelper",78,-69,69
"9","3760","ant","1.8.4","org.apache.tools.ant.ProjectHelperRepository",16,1,0,9,58,60,6,5,6,0.8,427,875,1,0,0.2111,0,0,25.1875,"org.apache.tools.ant.ProjectHelperRepository",39,-21,21
"10","3897","ant","1.8.4","org.apache.tools.ant.PropertyHelper",48,1,0,30,111,964,22,13,37,0.8632,1154,0.7143,6,0,0.2043,0,0,22.75,"org.apache.tools.ant.PropertyHelper",917,-47,47
